frame,abstime,reltime,Tow 1 [C],Tow 2 [C],Tow 3 [C],Tow 4 [C],Tow 5 [C],Tow 6 [C],Tow 7 [C],Tow 8 [C]
0,2019-06-27 13:57:43.518000,0.000000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
1,2019-06-27 13:57:43.552000,0.034000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
2,2019-06-27 13:57:43.585000,0.067000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
3,2019-06-27 13:57:43.618000,0.100000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
4,2019-06-27 13:57:43.652000,0.134000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
5,2019-06-27 13:57:43.685000,0.167000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
6,2019-06-27 13:57:43.718000,0.200000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
7,2019-06-27 13:57:43.752000,0.234000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
8,2019-06-27 13:57:43.785000,0.267000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
9,2019-06-27 13:57:43.818000,0.300000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
10,2019-06-27 13:57:43.852000,0.334000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
11,2019-06-27 13:57:43.885000,0.367000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
12,2019-06-27 13:57:43.918000,0.400000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
13,2019-06-27 13:57:43.952000,0.434000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
14,2019-06-27 13:57:43.985000,0.467000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
15,2019-06-27 13:57:44.018000,0.500000,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01,7.999660e+01
